time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-04-20T12:05:46.650Z,19.3863335,-155.2481689,2.02,2.04,ml,27,94,0.003076,0.14,hv,hv70086311,2018-04-20T12:11:29.830Z,"5km SSW of Volcano, Hawaii",earthquake,0.28,0.21,0.29,12,automatic,hv,hv
2018-04-20T12:05:33.290Z,19.3851662,-155.2471619,1.23,2.04,ml,19,79,0.003931,0.12,hv,hv70086306,2018-04-20T12:11:19.200Z,"5km S of Volcano, Hawaii",earthquake,0.23,0.35,0.28,14,automatic,hv,hv
2018-04-20T12:05:17.820Z,36.935833,-121.4313354,6.31,2.46,md,46,58,0.0521,0.1,nc,nc73001786,2018-04-20T12:10:02.065Z,"10km NNW of Hollister, CA",earthquake,0.18,0.57,0.11,43,automatic,nc,nc
2018-04-20T11:53:25.070Z,33.6801667,-116.7283333,15.81,0.38,ml,17,73,0.0331,0.14,ci,ci37918663,2018-04-20T11:56:58.503Z,"7km S of Idyllwild, CA",earthquake,0.43,0.65,0.142,5,automatic,ci,ci
2018-04-20T11:13:53.540Z,38.7924995,-122.7590027,1.35,1.16,md,15,74,0.01971,0.04,nc,nc73001766,2018-04-20T11:36:02.855Z,"2km N of The Geysers, CA",earthquake,0.26,0.61,0.07,5,automatic,nc,nc
2018-04-20T11:11:06.310Z,34.2293333,-117.4613333,11.33,1.59,ml,59,27,0.0391,0.19,ci,ci37918655,2018-04-20T11:22:03.220Z,"5km SE of Lytle Creek, CA",earthquake,0.22,0.46,0.121,27,automatic,ci,ci
2018-04-20T11:08:29.190Z,19.3785,-155.2774963,1.35,1.75,ml,22,91,0.008927,0.14,hv,hv70086291,2018-04-20T11:14:20.270Z,"7km SW of Volcano, Hawaii",earthquake,0.22,0.29,0.1,3,automatic,hv,hv
2018-04-20T10:53:39.210Z,33.151,-116.5583333,8,0.64,ml,13,147,0.0772,0.2,ci,ci37918639,2018-04-20T10:57:04.977Z,"9km NNE of Julian, CA",earthquake,0.6,0.97,0.064,9,automatic,ci,ci
2018-04-20T10:47:44.090Z,34.4758333,-116.4991667,1.59,2.01,ml,40,69,0.1441,0.17,ci,ci37918631,2018-04-20T10:51:32.948Z,"40km NE of Big Bear City, CA",earthquake,0.28,0.69,0.152,26,automatic,ci,ci
2018-04-20T10:27:18.401Z,61.7748,-151.5417,89.3,2.1,ml,,,,0.66,ak,ak19245775,2018-04-20T10:42:36.004Z,"79km W of Willow, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-04-20T10:25:00.930Z,62.1114,-148.6788,19.8,2.4,ml,,,,0.57,ak,ak19245768,2018-04-20T10:37:52.150Z,"36km NNE of Sutton-Alpine, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-04-20T10:22:13.490Z,32.5945,-115.6811667,11.44,2.04,ml,28,123,0.06667,0.28,ci,ci37918623,2018-04-20T10:33:33.410Z,"9km W of Progreso, B.C., MX",earthquake,0.66,0.85,0.165,27,automatic,ci,ci
2018-04-20T10:18:07.330Z,32.5965,-115.6903333,8.99,1.3,ml,13,130,0.06083,0.19,ci,ci37918615,2018-04-20T10:21:47.914Z,"10km W of Progreso, B.C., MX",earthquake,0.55,0.95,0.32,12,automatic,ci,ci
2018-04-20T10:11:10.440Z,36.1171684,-120.175499,9.62,1.89,md,8,233,0.07736,0.11,nc,nc73001751,2018-04-20T12:04:02.033Z,"12km SW of Huron, CA",earthquake,2.76,3.31,0.7,2,automatic,nc,nc
2018-04-20T10:11:06.400Z,33.4868333,-116.7825,6.13,0.97,ml,39,38,0.08698,0.17,ci,ci37918607,2018-04-20T10:14:44.472Z,"9km ENE of Aguanga, CA",earthquake,0.18,0.68,0.124,25,automatic,ci,ci
2018-04-20T10:10:09.229Z,58.1201,-155.4396,6.2,2.5,ml,,,,0.85,ak,ak19245765,2018-04-20T10:27:33.551Z,"95km SE of King Salmon, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-04-20T09:57:43.410Z,38.8071671,-122.8256683,1.67,1.23,md,20,73,0.003226,0.04,nc,nc73001746,2018-04-20T11:38:00.877Z,"7km WNW of The Geysers, CA",earthquake,0.22,0.34,0.12,4,automatic,nc,nc
2018-04-20T09:46:02.880Z,18.2023,-67.4393,11,2.6,md,6,228,0.1865,0.34,pr,pr2018110001,2018-04-20T11:49:23.909Z,"24km WSW of Stella, Puerto Rico",earthquake,1.51,1.91,0.21,4,reviewed,pr,pr
2018-04-20T09:30:20.084Z,64.708,-147.9629,6.5,1.6,ml,,,,0.62,ak,ak19245758,2018-04-20T09:35:27.741Z,"15km S of Ester, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-04-20T09:12:12.830Z,33.489,-116.7828333,6.44,0.52,ml,23,38,0.08516,0.12,ci,ci37918599,2018-04-20T09:15:52.230Z,"9km NE of Aguanga, CA",earthquake,0.19,0.7,0.099,17,automatic,ci,ci
